date,open,high,low,close,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
2022-02-14,1868.0,1870.6,1854.6,1861.8,79,1825.6572,1815.5,1803.1489,2.1844,0.8528,0.8076,55.9194,6.614,2.8031,1858.4746,1779.8555
2022-02-15,1854.8,1879.7,1847.4,1872.6,86,1835.1714,1816.9167,1804.3733,0.5801,0.832,0.8122,63.6422,10.0354,4.2496,1867.9159,1775.9941
2022-02-16,1870.2,1870.2,1856.3,1858.7,34,1841.8143,1818.8567,1805.5033,-0.7423,0.9618,0.7634,74.4394,11.4928,5.6982,1872.7471,1775.2929
2022-02-17,1900.7,1900.7,1876.2,1876.3,393,1850.0143,1820.9633,1806.8333,0.9469,0.9865,0.7713,76.7663,13.9076,7.3401,1879.4562,1772.1538
2022-02-18,1898.6,1899.4,1890.7,1899.4,51,1860.5857,1824.7067,1808.4722,1.2311,1.0274,0.7393,84.3769,17.4838,9.3688,1891.7059,1766.0441
2022-02-22,1906.1,1912.0,1890.8,1908.1,173,1871.2714,1828.5833,1810.1089,0.458,1.0269,0.7407,84.3769,20.7804,11.6512,1904.4966,1760.2734
2022-02-23,1909.2,1910.6,1895.7,1896.6,73,1881.9286,1831.9733,1811.2689,-0.6027,1.0243,0.7555,78.6875,22.2091,13.7627,1912.6165,1757.5135
2022-02-24,1925.1,1972.5,1911.7,1911.9,2706,1889.0857,1835.5733,1812.5733,0.8067,0.7637,0.7619,79.5543,24.2958,15.8694,1923.9041,1754.4259
2022-02-25,1886.5,1920.0,1883.6,1906.9,586,1893.9857,1838.5033,1814.1878,-0.2615,0.7931,0.7565,77.3738,25.255,17.7465,1931.8387,1757.8513
2022-02-28,1899.4,1928.4,1894.2,1928.3,390,1903.9286,1842.12,1815.8622,1.1222,0.708,0.7761,79.0977,27.4258,19.6823,1942.9392,1759.8308
2022-03-01,1942.4,1942.4,1903.8,1908.3,547,1908.5,1845.0133,1817.3478,-1.0372,0.8871,0.8081,71.0056,27.2186,21.1896,1947.2668,1767.4832
2022-03-02,1920.9,1948.2,1919.8,1945.6,109,1915.1,1849.3067,1819.1656,1.9546,1.0486,0.8675,74.6716,29.7215,22.896,1958.203,1771.387
2022-03-03,1934.4,1940.3,1924.8,1930.5,122,1918.3,1853.0767,1820.7589,-0.7761,1.1279,0.8863,69.378,30.1393,24.3446,1963.6453,1779.2147
2022-03-04,1965.1,1970.9,1935.6,1937.0,47,1924.0714,1856.29,1822.3444,0.3367,1.0749,0.8635,73.374,30.6416,25.604,1969.2085,1786.7716
2022-03-07,1993.9,2001.1,1963.0,1989.0,2516,1935.0857,1861.3233,1824.3467,2.6846,1.4044,0.9748,74.6321,34.8341,27.45,1984.4621,1789.8179
2022-03-08,2040.1,2072.0,1998.0,1999.4,1813,1948.3,1866.7067,1826.6567,0.5229,1.3571,0.9745,74.5927,38.5516,29.6704,1999.3275,1793.6725
2022-03-09,1985.9,2063.0,1980.8,2053.6001,1022,1966.2,1873.7267,1829.5245,2.7108,1.5597,1.0703,82.6904,45.3484,32.806,2026.2257,1790.2443
2022-03-10,1998.1,2010.5,1978.1,1978.1,670,1976.1714,1878.6667,1831.58,-3.6765,2.2681,1.2881,64.2977,44.1339,35.0715,2031.0195,1800.7205
2022-03-11,1982.7,1996.0,1959.9,1985.0,865,1981.8,1885.0567,1833.7745,0.3488,2.1803,1.2148,62.5956,43.2299,36.7032,2035.651,1811.259
2022-03-14,1959.6,1977.7,1959.6,1976.5,145,1988.3714,1891.0233,1835.8411,-0.4282,2.1553,1.2229,60.0707,41.3509,37.6328,2034.9204,1827.4396
2022-03-15,1928.5,1939.9,1910.7,1939.8,71,1988.7714,1896.0667,1837.75,-1.8568,2.3125,1.2782,55.9211,36.4799,37.4022,2033.5701,1836.5899
2022-03-16,1908.0,1922.4,1907.2,1922.4,104,1979.2572,1900.24,1839.37,-0.897,2.0068,1.2953,51.4309,30.8598,36.0937,2031.8366,1843.3034
2022-03-17,1942.1,1947.2,1933.9,1933.9,39,1969.9,1904.7767,1840.9145,0.5982,2.0132,1.2965,53.6154,27.0223,34.2794,2028.0475,1854.6125
2022-03-18,1928.2,1939.3,1928.2,1934.5,28,1952.8857,1909.0667,1842.22,0.031,1.4996,1.2965,50.8792,23.7557,32.1747,2025.5038,1862.9763
2022-03-21,1928.6,1928.6,1925.0,1925.4,5,1945.3572,1913.0467,1843.3233,-0.4704,0.8282,1.3024,52.5022,20.1997,29.7797,2024.5851,1866.495
2022-03-22,1920.7,1920.7,1920.7,1920.7,26,1936.1714,1916.6633,1844.3778,-0.2441,0.7692,1.3049,45.9722,16.8085,27.1855,2024.1523,1868.1877
2022-03-23,1936.6,1936.6,1936.6,1936.6,204,1930.4714,1920.5867,1845.2967,0.8278,0.9128,1.3096,50.9842,15.2284,24.7941,2022.7782,1873.5619
2022-03-24,1961.6,1964.0,1961.6,1963.6,8,1933.8714,1925.1933,1846.4389,1.3942,0.8014,1.327,54.0254,15.9708,23.0294,2023.6345,1877.8756
2022-03-25,1953.8,1953.8,1953.8,1953.8,83,1938.3571,1929.21,1847.4311,-0.4991,0.7228,1.3335,43.8931,15.5886,21.5412,2022.9951,1883.205
2022-03-28,1939.6,1939.6,1932.6,1932.6,7,1938.1714,1932.8967,1848.3089,-1.0851,0.8502,1.3464,38.8294,13.4204,19.9171,2022.9147,1883.7153
2022-03-29,1912.0,1912.0,1893.5,1893.5,128051,1932.3143,1933.9533,1848.6522,-2.0232,1.1402,1.3522,21.8034,8.4496,17.6236,2024.4669,1880.6832
2022-03-30,1933.5,1937.0,1914.5,1918.4,17765,1931.3143,1935.48,1849.29,1.315,1.2861,1.3684,37.2053,6.4452,15.3879,2024.6744,1877.7556
2022-03-31,1949.2,1949.9,1919.1,1933.5,3617,1933.1429,1937.9733,1850.2045,0.7871,1.3181,1.3649,39.3375,6.0059,13.5115,2024.6584,1878.0716
2022-04-01,1919.1,1938.0,1917.0,1935.0,1016,1932.9143,1939.93,1851.2422,0.0776,1.2792,1.3564,41.1514,5.7129,11.9518,2024.6463,1877.8837
2022-04-04,1929.2,1936.1,1915.6,1921.2,371,1926.8571,1940.6567,1852.6389,-0.7132,1.1349,1.3474,45.6049,4.3174,10.4249,2020.1727,1875.5773
2022-04-05,1922.9,1943.5,1918.4,1927.1,412,1923.0428,1941.29,1854.1289,0.3071,1.1528,1.3461,51.1744,3.6455,9.069,2012.8448,1875.6752
2022-04-06,1918.4,1931.8,1916.7,1916.7,138,1920.7714,1941.96,1855.5245,-0.5397,1.0995,1.3451,45.6784,2.2479,7.7048,1983.7789,1891.0511
2022-04-07,1933.8,1934.8,1919.5,1919.5,311,1924.4857,1942.2133,1856.9445,0.1461,0.7069,1.3376,46.2724,1.3506,6.434,1977.2933,1891.6767
2022-04-08,1941.6,1947.7,1928.8,1928.8,153,1925.9714,1942.9433,1858.5545,0.4845,0.5374,1.3391,50.8441,1.3742,5.422,1967.2966,1896.0534
2022-04-11,1944.3,1968.4,1941.8,1946.6,163,1927.8428,1943.5533,1860.4633,0.9228,0.5687,1.3341,56.0373,2.7969,4.897,1959.9016,1900.4584
2022-04-12,1972.1,1977.1,1950.6,1952.5,246,1930.3428,1945.0267,1862.37,0.3031,0.5738,1.3191,53.8875,4.3504,4.7877,1961.9128,1899.7172
2022-04-13,1981.0,1981.0,1969.5,1969.5,204,1937.2429,1945.8233,1864.6145,0.8707,0.4923,1.2804,51.5167,6.874,5.2049,1968.4386,1897.9014
2022-04-14,1970.9,1978.7,1963.0,1977.2,101,1944.4,1947.38,1866.8033,0.391,0.4919,1.2722,56.0811,9.3871,6.0414,1975.735,1894.935
2022-04-18,1982.9,1997.1,1972.8,1973.4,196,1952.5,1948.5933,1868.9578,-0.1922,0.3925,1.2723,61.6572,10.946,7.0223,1981.1107,1893.4493
2022-04-19,1955.7,1978.3,1945.7,1973.8,130,1960.2571,1948.0867,1871.0011,0.0203,0.4096,1.1725,79.4571,12.0745,8.0327,1986.0415,1893.3585
2022-04-20,1952.3,1953.6,1945.5,1945.5,621,1962.6429,1946.29,1872.8011,-1.4338,0.7996,1.1956,59.6993,10.5635,8.5389,1986.4608,1895.4192
